日期,最高温,最低温,天气,风向,风力
2023/1/1,9,-1,多云,东北风,1级
2023/1/2,3,-1,小雨,东南风,1级
2023/1/3,2,-2,大雪,西北风,1级
2023/1/4,-2,-6,小雪,东风,1级
2023/1/5,-3,-4,多云,东北风,1级
2023/1/6,-1,-4,中雪,西南风,微风
2023/1/7,1,-5,阴,东风,1级
2023/1/8,-1,-6,晴,北风,微风
2023/1/9,3,-7,晴,西北风,微风
2023/1/10,6,-6,晴,西北风,1级
2023/1/11,6,-7,晴,东风,微风
2023/1/12,5,-5,多云,西北风,1级
2023/1/13,5,-5,阴,西北风,1级
2023/1/14,6,-4,晴,东北风,1级
2023/1/15,5,-3,多云,北风,微风
2023/1/16,8,-2,晴,北风,微风
2023/1/17,5,-3,多云,北风,微风
2023/1/18,4,-3,阴,西南风,1级
2023/1/19,7,-3,多云,西北风,微风
2023/1/20,8,-2,阴,西风,微风
2023/1/21,10,-2,多云,北风,1级
2023/1/22,8,-1,晴,西北风,微风
2023/1/23,3,-3,多云,西北风,1级
2023/1/24,1,-3,中雪,西南风,1级
2023/1/25,-3,-8,小雪,西北风,1级
2023/1/26,-3,-7,多云,西南风,1级
2023/1/27,-3,-7,小雪,北风,1级
2023/1/28,1,-8,阴,南风,2级
2023/1/29,-1,-9,多云,南风,1级
2023/1/30,0,-6,多云,东风,1级
2023/1/31,3,-5,晴,西北风,1级
2023/2/1,4,-5,多云,南风,1级
2023/2/2,2,-5,多云,东南风,1级
2023/2/3,2,-7,晴,北风,1级
2023/2/4,4,-6,晴,北风,1级
2023/2/5,6,-6,晴,西北风,微风
2023/2/6,8,-4,晴,西北风,1级
2023/2/7,6,-5,阴,西南风,1级
2023/2/8,6,-4,阴,东南风,1级
2023/2/9,5,-3,阴,东北风,微风
2023/2/10,6,-3,晴,南风,1级
2023/2/11,7,-5,晴,东北风,1级
2023/2/12,8,-3,晴,南风,1级
2023/2/13,9,-2,多云,东南风,微风
2023/2/14,8,0,多云,西南风,1级
2023/2/15,9,-1,多云,北风,1级
2023/2/16,11,1,多云,西北风,1级
2023/2/17,5,1,小雨,东南风,1级
2023/2/18,9,1,阴,西北风,1级
2023/2/19,12,1,多云,北风,1级
2023/2/20,9,1,小雨,西北风,1级
2023/2/21,9,0,晴,南风,2级
2023/2/22,13,0,晴,西南风,微风
2023/2/23,16,0,多云,东南风,1级
2023/2/24,16,2,多云,北风,微风
2023/2/25,16,2,晴,北风,微风
2023/2/26,16,3,阴,北风,1级
2023/2/27,15,6,阴,西北风,1级
2023/2/28,20,5,晴,东风,1级
2023/3/1,16,4,多云,东南风,1级
2023/3/2,17,3,多云,西南风,微风
2023/3/3,20,7,晴,北风,微风
2023/3/4,14,4,小雨,西南风,1级
2023/3/5,15,4,阴,西北风,1级
2023/3/6,8,3,小雨,东南风,1级
2023/3/7,12,0,阴,北风,微风
2023/3/8,15,1,晴,东南风,1级
2023/3/9,16,4,晴,北风,微风
2023/3/10,19,7,多云,西北风,微风
2023/3/11,20,6,晴,北风,3级
2023/3/12,23,6,晴,北风,微风
2023/3/13,24,6,多云,北风,微风
2023/3/14,25,8,晴,东北风,微风
2023/3/15,23,10,晴,西北风,1级
2023/3/16,17,6,阴,西南风,2级
2023/3/17,8,5,小雨,北风,1级
2023/3/18,7,5,阴,西北风,1级
2023/3/19,15,6,阴,西风,微风
2023/3/20,14,4,多云,北风,微风
2023/3/21,19,4,晴,南风,1级
2023/3/22,22,5,晴,北风,1级
2023/3/23,23,9,多云,北风,1级
2023/3/24,23,9,多云,北风,微风
2023/3/25,22,11,多云,北风,微风
2023/3/26,25,10,多云,南风,2级
2023/3/27,29,12,多云,东南风,1级
2023/3/28,30,13,多云,南风,微风
2023/3/29,28,14,多云,南风,2级
2023/3/30,27,12,多云,南风,1级
2023/3/31,26,14,阴,南风,1级
2023/4/1,30,11,晴,东北风,微风
2023/4/2,31,13,晴,北风,微风
2023/4/3,31,12,晴,东北风,1级
2023/4/4,23,9,多云,北风,2级
2023/4/5,20,7,多云,西南风,1级
2023/4/6,16,2,晴,东风,微风
2023/4/7,21,5,晴,南风,微风
2023/4/8,29,7,晴,东北风,微风
2023/4/9,29,13,晴,南风,2级
2023/4/10,30,10,多云,东风,微风
2023/4/11,27,15,阴,西南风,1级
2023/4/12,16,10,小雨,西风,1级
2023/4/13,13,9,小雨,南风,1级
2023/4/14,19,5,多云,西南风,1级
2023/4/15,20,6,多云,西南风,1级
2023/4/16,25,7,晴,东南风,1级
2023/4/17,29,11,晴,东风,微风
2023/4/18,32,15,晴,西北风,1级
2023/4/19,32,18,多云,东南风,2级
2023/4/20,26,13,中雨,西风,1级
2023/4/21,28,14,多云,西南风,1级
2023/4/22,26,14,阵雨,东北风,1级
2023/4/23,22,14,阴,北风,1级
2023/4/24,18,12,小雨,南风,1级
2023/4/25,19,9,小雨,西南风,微风
2023/4/26,27,10,多云,北风,1级
2023/4/27,30,13,阴,东南风,微风
2023/4/28,26,14,多云,南风,2级
2023/4/29,32,12,晴,东南风,微风
2023/4/30,28,16,阴,东风,1级
2023/5/1,30,13,多云,东风,1级
2023/5/2,27,10,多云,东风,1级
2023/5/3,30,16,阴,北风,1级
2023/5/4,25,16,阴,东风,1级
2023/5/5,26,14,小雨,东南风,1级
2023/5/6,18,10,小雨,西南风,1级
2023/5/7,24,12,多云,西南风,1级
2023/5/8,25,15,阴,西北风,1级
2023/5/9,24,15,小雨,东北风,1级
2023/5/10,22,15,小雨,西南风,1级
2023/5/11,24,13,多云,东北风,微风
2023/5/12,24,11,多云,东南风,微风
2023/5/13,33,17,晴,西北风,1级
2023/5/14,31,20,多云,南风,1级
2023/5/15,34,20,多云,东南风,1级
2023/5/16,35,21,晴,北风,1级
2023/5/17,32,19,阴,东风,微风
2023/5/18,30,19,小雨,东北风,1级
2023/5/19,27,18,阵雨,西北风,微风
2023/5/20,24,15,阴,西北风,2级
2023/5/21,23,13,中雨,北风,2级
2023/5/22,26,11,多云,东南风,1级
2023/5/23,26,14,多云,西风,微风
2023/5/24,25,15,多云,东风,1级
2023/5/25,30,19,多云,西北风,1级
2023/5/26,24,13,阵雨,东南风,1级
2023/5/27,28,13,阴,东南风,1级
2023/5/28,31,14,多云,南风,1级
2023/5/29,30,13,阴,北风,微风
2023/5/30,29,15,多云,东南风,1级
2023/5/31,33,18,多云,北风,1级
2023/6/1,30,16,多云,南风,1级
2023/6/2,31,16,多云,北风,微风
2023/6/3,31,17,多云,东风,1级
2023/6/4,30,14,多云,东风,1级
2023/6/5,36,18,晴,东北风,微风
2023/6/6,38,22,多云,东风,1级
2023/6/7,33,19,多云,东南风,1级
2023/6/8,22,13,小雨,西南风,1级
2023/6/9,30,15,多云,东南风,1级
2023/6/10,34,16,晴,东风,微风
2023/6/11,36,20,多云,东南风,1级
2023/6/12,37,20,晴,东南风,1级
2023/6/13,39,21,多云,东北风,微风
2023/6/14,37,21,多云,南风,1级
2023/6/15,35,22,阴,东南风,1级
2023/6/16,28,22,小雨,北风,1级
2023/6/17,31,21,阴,南风,2级
2023/6/18,26,21,小雨,西北风,2级
2023/6/19,31,20,多云,东南风,1级
2023/6/20,34,20,多云,东南风,1级
2023/6/21,33,20,多云,南风,1级
2023/6/22,34,22,晴,东南风,1级
2023/6/23,35,23,多云,西风,微风
2023/6/24,35,24,阴,西北风,1级
2023/6/25,33,22,小雨,南风,1级
2023/6/26,30,23,中雨,西北风,1级
2023/6/27,33,23,阵雨,西南风,1级
2023/6/28,34,23,多云,东北风,微风
2023/6/29,34,24,小雨,西北风,1级
2023/6/30,33,22,多云,南风,2级
2023/7/1,34,23,阴,西风,1级
2023/7/2,28,21,中雨,南风,1级
2023/7/3,26,21,中雨,西南风,1级
2023/7/4,23,20,中雨,西风,1级
2023/7/5,30,21,多云,西风,微风
2023/7/6,33,22,多云,西北风,微风
2023/7/7,33,23,多云,西南风,微风
2023/7/8,30,22,小雨,西北风,微风
2023/7/9,26,21,小雨,西北风,1级
2023/7/10,26,23,中雨,东风,1级
2023/7/11,28,21,小雨,南风,1级
2023/7/12,30,22,小雨,西南风,微风
2023/7/13,32,23,阴,东南风,1级
2023/7/14,33,25,阵雨,南风,微风
2023/7/15,35,26,阵雨,东南风,1级
2023/7/16,36,25,阴,北风,1级
2023/7/17,36,26,晴,南风,1级
2023/7/18,38,27,多云,东南风,2级
2023/7/19,40,27,阴,南风,1级
2023/7/20,40,28,多云,南风,微风
2023/7/21,39,27,多云,西北风,1级
2023/7/22,40,27,多云,南风,1级
2023/7/23,40,28,晴,西南风,1级
2023/7/24,39,26,晴,南风,1级
2023/7/25,39,28,多云,南风,1级
2023/7/26,37,27,阵雨,西南风,1级
2023/7/27,37,26,阵雨,西南风,1级
2023/7/28,37,26,多云,东南风,2级
2023/7/29,37,26,多云,东南风,1级
2023/7/30,35,24,阵雨,东南风,1级
2023/7/31,34,25,阵雨,西北风,2级
